The Most Influential Books,https://goodreads.com/list/show/1083.The_Most_Influential_Books,"1,312 books
    
    5,262 voters"
I'm glad someone made me read this book,https://goodreads.com/list/show/1190.I_m_glad_someone_made_me_read_this_book,"5,239 books
    
    5,259 voters"
Best Woman-Authored Books,https://goodreads.com/list/show/26495.Best_Woman_Authored_Books,"7,509 books
    
    5,162 voters"
Best Books of 2015,https://goodreads.com/list/show/86673.Best_Books_of_2015,"3,025 books
    
    5,142 voters"
"The ""Can't Wait"" Books of 2014",https://goodreads.com/list/show/28997.The_Can_t_Wait_Books_of_2014,"1,974 books
    
    5,130 voters"
Best Time Travel Fiction,https://goodreads.com/list/show/211.Best_Time_Travel_Fiction,"1,774 books
    
    5,118 voters"
Favorite Magical Realism Novels,https://goodreads.com/list/show/143.Favorite_Magical_Realism_Novels,"1,238 books
    
    5,083 voters"
MUST READS!!!,https://goodreads.com/list/show/19106.MUST_READS_,"8,112 books
    
    4,988 voters"
Best Page-Turners with Redeeming Social Value,https://goodreads.com/list/show/11618.Best_Page_Turners_with_Redeeming_Social_Value,"4,358 books
    
    4,965 voters"
Title,List,Listfulldetails
Must Read Books- Different Genres,https://goodreads.com/list/show/2491.Must_Read_Books_Different_Genres,"7,649 books
    
    4,913 voters"
Smart Summer Reads,https://goodreads.com/list/show/35584.Smart_Summer_Reads,"6,154 books
    
    4,893 voters"
Best Break Out,https://goodreads.com/list/show/10886.Best_Break_Out,"2,125 books
    
    4,813 voters"
Favorite Chick-Lit,https://goodreads.com/list/show/402.Favorite_Chick_Lit,"2,334 books
    
    4,796 voters"
Books With Unforgettable Characters,https://goodreads.com/list/show/94.Books_With_Unforgettable_Characters,"5,985 books
    
    4,778 voters"
Best Teen Vampire Fiction,https://goodreads.com/list/show/616.Best_Teen_Vampire_Fiction,"389 books
    
    4,772 voters"
Can't Wait Books of 2018,https://goodreads.com/list/show/102382.Can_t_Wait_Books_of_2018,"1,187 books
    
    4,708 voters"
"The ""Can't Wait"" Books of 2016",https://goodreads.com/list/show/35266.The_Can_t_Wait_Books_of_2016,"1,262 books
    
    4,705 voters"
Books that Make you Laugh,https://goodreads.com/list/show/510.Books_that_Make_you_Laugh,"3,418 books
    
    4,684 voters"
Favorite Books,https://goodreads.com/list/show/63.Favorite_Books,"8,641 books
    
    4,684 voters"
Title,List,Listfulldetails
Books With Heroes/Heroines Who Are Assassins,https://goodreads.com/list/show/2669.Books_With_Heroes_Heroines_Who_Are_Assassins,"1,130 books
    
    4,672 voters"
Best Paranormal/Urban Fantasy Books,https://goodreads.com/list/show/400.Best_Paranormal_Urban_Fantasy_Books,"1,750 books
    
    4,623 voters"
